Code,A000270,A005930,A000660
Name,기아,삼성전자,SK하이닉스
20240507,451707,4753024,1311964
20240508,452879,4753024,1300276
20240509,436091,4659484,1281283
20240510,445461,4630252,1314155
20240513,446242,4583482,1342644
20240514,444680,4577636,1353602
20240516,447803,4571789,1409850
20240517,439995,4525019,1387205
20240520,448584,4612713,1388665
20240521,446632,4583482,1402545
20240522,464201,4542558,1444183
20240523,470447,4577636,1460984
20240524,468495,4437325,1450757
20240527,478255,4513327,1471942
20240528,477865,4536712,1479247
20240529,476303,4396401,1479247
20240530,459516,4297014,1429573
20240531,459516,4297014,1382091
20240603,471228,4425632,1418616
20240604,464591,4402247,1412041
20240605,466543,4525019,1414963
20240607,472790,4519173,1515771
20240610,473961,4425632,1519424
20240611,476303,4396401,1552296
20240612,478255,4472403,1570558
20240613,475132,4595174,1621693
20240614,479036,4653637,1614388
20240617,504023,4565943,1628997
20240618,511441,4665330,1713004
20240619,516516,4747178,1705699
20240620,509879,4770563,1734919
20240621,499338,4677022,1709352
20240624,500899,4712100,1628997
20240625,503632,4723793,1643607
20240626,510660,4753024,1731266
20240627,513393,4770563,1727614
20240628,504804,4764717,1727614
20240701,502071,4782255,1720309
20240702,482550,4782255,1694742
20240703,482940,4782255,1723961
20240704,490358,4945951,1680132
20240705,493091,5092108,1723961
20240708,484892,5109647,1705699
20240709,478255,5133032,1742224
20240710,476303,5133032,1745876
20240711,477475,5121340,1760486
20240712,473570,4934259,1702047
20240715,468495,5068723,1680132
20240716,479817,5127186,1702047
20240717,472399,5068723,1610735
20240718,468105,5080416,1552296
20240719,454050,4934259,1530381
20240722,452488,4852411,1497509
20240723,470447,4905027,1497509
20240724,462248,4793948,1523076
20240725,448974,4700408,1387935
20240726,437652,4729639,1401084
20240729,443899,4747178,1428843
20240730,435700,4735485,1379900
20240731,437652,4905027,1421538
20240801,437652,4858257,1412041
20240802,418132,4653637,1265212
20240805,375967,4174242,1140298
20240806,400954,4238551,1195816
20240807,396659,4367170,1236723
20240808,396659,4291168,1193624
20240809,397830,4367170,1252794
20240812,398611,4413940,1292971
20240813,401344,4449018,1328765
20240814,399392,4513327,1363829
20240816,413447,4688715,1458793
20240819,402906,4577636,1416424
20240820,403687,4612713,1458793
20240821,402125,4577636,1406928
20240822,399782,4577636,1395970
20240823,406029,4542558,1355063
20240826,401344,4449018,1311964
20240827,397440,4431479,1278361
20240828,408371,4466556,1309772
20240829,416180,4326246,1239645
20240830,414228,4343785,1268865
20240902,414228,4349631,1271056
20240903,399002,4238551,1229418
20240904,391193,4092395,1130802
20240905,393145,4033932,1164404
20240906,390412,4028085,1142490
20240909,393536,3946238,1146873
20240910,391193,3870236,1135915
20240911,375577,3794234,1148333
20240912,386899,3876082,1233071
20240913,392365,3765003,1189241
20240919,404077,3689001,1116192
20240920,412276,3683155,1147603
20240923,402906,3659770,1183397
20240924,405248,3694848,1194355
20240925,401344,3636385,1207503
20240926,409543,3782542,1321460
20240927,409152,3753310,1342644
20240930,390022,3595461,1275439
20241002,385337,3583768,1235262
20241004,382604,3542844,1271787
20241007,391974,3566229,1350680
20241008,388851,3525306,1300276
20241010,393536,3443458,1363829
20241011,394707,3466843,1358715
20241014,392755,3554537,1369673
20241015,389241,3566229,1409119
20241016,381823,3478535,1378439
20241017,371673,3490228,1431765
20241018,371282,3460996,1368212
20241021,370892,3449304,1394509
20241022,361132,3373302,1371864
20241023,363084,3455150,1431765
20241024,354885,3308993,1447835
20241025,361912,3268069,1468289
20241028,372844,3396687,1431765
20241029,365816,3484382,1390126
20241030,367378,3455150,1424460
20241031,358789,3460996,1360907
20241101,368159,3408380,1330957
20241104,380262,3431765,1417155
20241105,378700,3367456,1411311
20241106,370892,3349917,1430304
20241107,366988,3361610,1441991
20241108,363084,3332378,1464637
20241111,369330,3215453,1406928
20241112,358789,3098527,1357254
20241113,354495,2958216,1336070
20241114,361132,2917293,1263751
20241115,357618,3127759,1301737
20241118,377529,3314839,1254255
20241119,372063,3291454,1246219
20241120,382995,3232992,1246219
20241121,381043,3297301,1233071
20241122,381823,3273916,1290780
20241125,379481,3384995,1292971
20241126,379871,3408380,1293701
20241127,368159,3291454,1229418
